epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.35224313924568534;0.87242013;0.43725930959005566;0.7936222479359892;0.45864661654135336;0.87971085;0.6319444;0.9874744;0.13739306;0.8739913;0.43082806984379685;0.7904660919275275;0.3272104525255313;0.45;0.8816549;0.6442308;0.9867193;0.15366973
1;0.3371109808328573;0.87487227;0.4481086699966975;0.8000162589841692;0.4695520885757423;0.8865627;0.61755484;0.98077834;0.19828887;0.8749224;0.43931063177072793;0.7965145188590397;0.32264055713113976;0.4636363636363636;0.8884904;0.60645163;0.9781048;0.21559633
2;0.32957927162036643;0.87786937;0.46239980436369155;0.8051880709724284;0.4821338701560141;0.88757735;0.6569579;0.9832992;0.20432813;0.877095;0.4618770320359902;0.8014795471459525;0.3184723352734751;0.4691075514874142;0.8867314;0.6515151;0.98348886;0.19724771
3;0.3298796603154051;0.87786937;0.4668806026340105;0.8057256363622091;0.4814070351758794;0.8865877;0.6666667;0.9847172;0.19526926;0.8758535;0.47735521224261146;0.802956459887906;0.3182705349984338;0.46788990825688076;0.88508713;0.6451613;0.98420674;0.18348624
4;0.3265893045363963;0.87480414;0.4725315265338814;0.8085014782949103;0.48923385077616427;0.87984604;0.6905371;0.99046797;0.13588324;0.877095;0.47924396651952605;0.8031795609765736;0.32339622416087815;0.4681818181818182;0.88008904;0.75641024;0.9931802;0.1353211
5;0.3271829288496762;0.8790273;0.47686092872608865;0.8100860651743819;0.4841469552088576;0.8920569;0.6393659;0.97849375;0.24358329;0.8755431;0.4790793491450909;0.8062807484341761;0.31516360287559764;0.4759725400457666;0.89317507;0.5925926;0.9723618;0.25688073
6;0.3257026428779386;0.8777331;0.47592937569556176;0.81097759352603;0.48163059889280324;0.8844987;0.6889764;0.9875532;0.17614494;0.8792675;0.47272277487868875;0.809686538854166;0.31756953277216426;0.47297297297297297;0.8859903;0.7008547;0.9874372;0.1880734
7;0.323385588953146;0.8816157;0.48404746981475855;0.8112046682195894;0.48490945674044267;0.8956949;0.64874554;0.9768394;0.2732763;0.87647426;0.47877191739777425;0.809745812944144;0.3153410799787475;0.47954545454545455;0.8953642;0.5940594;0.9705671;0.27522936
8;0.3222702365830682;0.8812751;0.4834004926761252;0.8118999271220074;0.48616004026170107;0.89749545;0.63465786;0.9739247;0.28938097;0.87802607;0.47565716613751613;0.8078712698485876;0.316438726548968;0.47380410022779046;0.8968491;0.6038647;0.9705671;0.28669724
9;0.3245617795838873;0.8814114;0.4879999348131468;0.8136137612299387;0.48868778280542985;0.89510137;0.65;0.9773909;0.26824358;0.8783364;0.48716115267375104;0.8102554054677056;0.3166625806350726;0.4793577981651376;0.8945287;0.61702126;0.9741565;0.26605505
10;0.3206087518508775;0.8819563;0.486399071573104;0.813808484469994;0.48616004026170107;0.8961903;0.6497642;0.9766031;0.27730247;0.87802607;0.48337693005316384;0.8095276513629748;0.3125817999382481;0.47706422018348627;0.89579886;0.6080402;0.97200286;0.27752292
11;0.3191904686353291;0.8802534;0.49465599514718317;0.8155195433306883;0.496;0.8896252;0.67697066;0.9835355;0.22043282;0.8777157;0.48439265658204456;0.8118558058971134;0.3122695548925838;0.48394495412844035;0.88957655;0.6381579;0.98025846;0.22247706
12;0.320957251999462;0.8807302;0.49070552117792443;0.8147692948865911;0.4879275653923541;0.9004025;0.61614174;0.96927685;0.3150478;0.8758535;0.4766297483203935;0.8077634239348774;0.31490775052062625;0.47285067873303166;0.90033555;0.57438016;0.96302944;0.31880733
13;0.32069242701688555;0.8812751;0.4950278560790798;0.8150928490680204;0.4886763965777554;0.88902307;0.7013201;0.9857413;0.21389028;0.87895715;0.4846021306141651;0.8096906551104145;0.3124643567646608;0.48394495412844035;0.8894668;0.65753424;0.9820531;0.22018349
14;0.31883747871427476;0.88188815;0.49637812923983166;0.8172291749213751;0.49295774647887325;0.89204466;0.6799431;0.98227507;0.24056366;0.8795779;0.4758583338770604;0.8112910555398224;0.3128525758015303;0.48394495412844035;0.8918301;0.6481481;0.9795406;0.24082568
15;0.31898872030031233;0.88018525;0.4962316972164571;0.8174070682692582;0.4891905480140774;0.88560545;0.7270916;0.9892075;0.183694;0.87895715;0.4765501681933158;0.8113388041123046;0.3141138709938208;0.4805491990846682;0.887201;0.6796875;0.98528355;0.19954129
16;0.3177595900365454;0.8807302;0.4965538809747267;0.8168188744405993;0.49119275289380976;0.89230657;0.66076297;0.9803844;0.24408656;0.88019866;0.4805522865540743;0.8126617688705651;0.3122425612957118;0.481651376146789;0.89421815;0.64044946;0.977028;0.2614679
17;0.3171744883358864;0.88147944;0.5027435717583221;0.820349623268117;0.49798792756539234;0.8910467;0.68296295;0.98314166;0.23200805;0.880509;0.48640100531104075;0.8130503434604214;0.3098218213098527;0.48623853211009177;0.8911698;0.6666667;0.98169416;0.23394495
18;0.3169056115265106;0.8810708;0.49641667639594783;0.8182152400878279;0.4906988436400201;0.8917275;0.67043847;0.98164487;0.23855057;0.8783364;0.47003386370421996;0.8088385900669797;0.314355864279171;0.47706422018348627;0.89092094;0.6375;0.97918165;0.23394495
19;0.31825796713105187;0.8820244;0.5032607995115795;0.8185887487195208;0.4894894894894895;0.89443004;0.6624204;0.979124;0.26170105;0.87895715;0.4786515950221936;0.8079832320185463;0.3117636215660899;0.4796380090497738;0.8935611;0.6292135;0.97631013;0.25688073
20;0.31633506809616235;0.88318235;0.5071190788409724;0.8196981736256519;0.49824385348720523;0.895925;0.6666667;0.97857255;0.27377957;0.88019866;0.4850330905091797;0.8118895591983508;0.3135770348789232;0.48299319727891155;0.89577836;0.6315789;0.9748744;0.27522936
21;0.31483868450001484;0.882365;0.5093623624998044;0.8216163452229946;0.4952237305178482;0.893167;0.67711174;0.98132974;0.25012583;0.8798883;0.4812756319946056;0.8103546072432938;0.313078795342916;0.4793577981651376;0.89237815;0.6484848;0.97918165;0.24541284
22;0.3168263902251934;0.88277364;0.510705378944185;0.8230069423206094;0.5015045135406219;0.89519554;0.6666667;0.9790452;0.2677403;0.87802607;0.48681680116846726;0.8108934251862194;0.310193515116202;0.4840182648401826;0.89423394;0.61497325;0.9741565;0.26376146
23;0.31665911179247275;0.8821606;0.5087943046361848;0.8213273032232753;0.494212380473075;0.894843;0.6612296;0.9787301;0.26522395;0.8786468;0.48375767591425056;0.8086286609983073;0.3116791091540228;0.48394495412844035;0.8948236;0.61904764;0.9741565;0.26834863
24;0.31371286606602483;0.8842722;0.5090233592268513;0.8224283825645012;0.4937091092098641;0.895589;0.68367344;0.9804632;0.2697534;0.8808194;0.4850565563294279;0.8091316675118714;0.31066947888691626;0.47874720357941836;0.8953259;0.6413044;0.97631013;0.2706422
25;0.31426535219240315;0.88263744;0.5103600065094566;0.8211653080774205;0.4977420973406924;0.891123;0.7012195;0.98455966;0.23150478;0.880509;0.4823022511096201;0.8091110862306289;0.3120889568055068;0.4796380090497738;0.891936;0.6603774;0.98061734;0.24082568
26;0.3139796479181441;0.8833186;0.5172532734655377;0.8266462429614775;0.5050200803212851;0.8920386;0.7026627;0.9841657;0.23905385;0.8786468;0.48935078048134983;0.8179914974610931;0.30933899559603206;0.4863013698630137;0.8909566;0.6415094;0.9795406;0.23394495
27;0.3133718263030288;0.881207;0.5104627503814595;0.8239380972381611;0.505787619526925;0.8902352;0.686636;0.9839294;0.22496225;0.880509;0.47986021873490525;0.8109444667637005;0.31061928644822595;0.4863013698630137;0.8904065;0.67346936;0.982771;0.22706422
28;0.3132558528217939;0.8837954;0.5152187504644731;0.825955563217;0.5007549068948163;0.8950813;0.6812903;0.980542;0.26572722;0.8786468;0.48621525625325135;0.8163631064891956;0.3078373415380587;0.48394495412844035;0.8940441;0.6229508;0.9752333;0.2614679
29;0.3128903899832826;0.88277364;0.5179060581985314;0.8266343093983588;0.5012581781580272;0.89400357;0.6759259;0.98069954;0.2571716;0.8814401;0.48118411479188855;0.8158922067743698;0.31072745328360946;0.49311926605504586;0.89565504;0.6467391;0.9766691;0.27293578
30;0.3144163810902725;0.88468087;0.5177872726427425;0.8249201581193149;0.5007549068948163;0.8952929;0.69190603;0.98140854;0.26673377;0.8795779;0.48219317200129114;0.8167286300440604;0.3119989864431058;0.482837528604119;0.89466757;0.6304348;0.97559226;0.26605505
31;0.312787494991693;0.8833186;0.5194006130432061;0.8279729895494498;0.505787619526925;0.88959056;0.7329932;0.987632;0.21690992;0.8783364;0.4819345699404648;0.8142201834862385;0.30938683144984075;0.48394495412844035;0.88788074;0.6617647;0.98348886;0.20642202
32;0.3142260978381918;0.8832505;0.5161782876779971;0.828647453920786;0.5012581781580272;0.89058053;0.7184;0.9861352;0.2259688;0.88175046;0.48517652914607345;0.8154921066670181;0.3096989027596201;0.482837528604119;0.89182144;0.6797386;0.98241204;0.23853211
