epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.48463477403702976;0.864655;0.186895;0.490599;;;1.0;0.0;0.135345;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.180327;0.489716;;;1.0;0.0;0.3978406288640829;0.13532;3222;0.0;0.86468;nan;0.13532;1.0;0.0
1;0.40833511033464814;0.864655;0.202213;0.509345;;;1.0;0.0;0.205335;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.20479;0.502059;;;1.0;0.0;0.39607514057153503;0.201835;3222;0.0;0.86468;nan;0.13532;1.0;0.0
2;0.403688033876891;0.864655;0.262975;0.510335;;;1.0;0.0;0.135354;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.278145;0.506221;;;1.0;0.0;0.3961702391625487;0.135404;3222;0.0;0.86468;nan;0.13532;1.0;0.0
3;0.399059921783206;0.864655;0.247568;0.509503;;;1.0;0.0;0.136907;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.247516;0.517026;;;1.0;0.0;0.39629475382046253;0.138578;3222;0.0;0.86468;nan;0.13532;1.0;0.0
4;0.39904261014781606;0.864655;0.270145;0.519881;;;1.0;0.0;0.135461;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.251251;0.507569;;;1.0;0.0;0.39702934189511707;0.13553;3222;0.0;0.86468;nan;0.13532;1.0;0.0
5;0.3975689628159397;0.864655;0.326421;0.509266;;;1.0;0.0;0.135382;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.34212;0.508917;;;1.0;0.0;0.3964695832157342;0.135362;3222;0.0;0.86468;nan;0.13532;1.0;0.0
6;0.3968070488592867;0.864655;0.304866;0.508949;;;1.0;0.0;0.135354;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.294553;0.508257;;;1.0;0.0;0.3963452147575434;0.135362;3222;0.0;0.86468;nan;0.13532;1.0;0.0
7;0.3969175524055028;0.864655;0.292401;0.511753;;;1.0;0.0;0.13536;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.302268;0.511089;;;1.0;0.0;0.39642529129464016;0.135404;3222;0.0;0.86468;nan;0.13532;1.0;0.0
8;0.39702624665477704;0.864655;0.354082;0.511079;;;1.0;0.0;0.135354;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.39535;0.510582;;;1.0;0.0;0.3964202237621292;0.135362;3222;0.0;0.86468;nan;0.13532;1.0;0.0
9;0.39683425288545154;0.864655;0.359044;0.504547;;;1.0;0.0;0.135354;14681;0.0;0.864655;nan;0.135345;1.0;0.0;0.86468;0.385;0.503265;;;1.0;0.0;0.3963888732174181;0.135404;3222;0.0;0.86468;nan;0.13532;1.0;0.0
