epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
27;0.28509016890302336;0.896805;0.621944;0.887322;;;0.561147;14681;0.901978;0.804124;0.988026;0.314041;0.885475;0.55232;0.857428;;;0.2854544353665013;0.530892;3222;0.897402;0.685083;0.979541;0.284404
28;0.280034200961742;0.893945;0.629455;0.88942;;;0.580272;14681;0.897324;0.822823;0.990704;0.275793;0.886716;0.558388;0.861891;;;0.2801102312324507;0.522936;3222;0.894685;0.729032;0.984925;0.259174
29;0.28027449151970873;0.895511;0.624863;0.886064;;;0.572723;14681;0.901266;0.792258;0.987317;0.309009;0.884854;0.556972;0.859306;;;0.28155435026986936;0.518265;3222;0.896032;0.687861;0.980617;0.272936
30;0.28096966707721066;0.893263;0.618467;0.88763;;;0.566683;14681;0.900338;0.767857;0.985662;0.302969;0.884544;0.554889;0.860079;;;0.2832821141824376;0.535308;3222;0.896518;0.679775;0.979541;0.277523
31;0.2778895630103903;0.894217;0.626501;0.889881;;;0.572723;14681;0.89832;0.811782;0.98968;0.284348;0.886096;0.558888;0.859245;;;0.2838282762552033;0.520642;3222;0.894359;0.722581;0.984566;0.256881
32;0.2790038765416155;0.894762;0.636157;0.892834;;;0.574736;14681;0.899062;0.810393;0.989365;0.290388;0.885785;0.565738;0.862291;;;0.2829153863915481;0.533181;3222;0.895874;0.702381;0.982053;0.270642
33;0.2807782275689638;0.897691;0.650698;0.898138;;;0.592555;14681;0.903403;0.799753;0.987238;0.325616;0.887647;0.56363;0.86;;;0.2801469515322307;0.525959;3222;0.898684;0.703297;0.980617;0.293578
34;0.279082393428625;0.898508;0.650558;0.897209;;;0.592854;14681;0.90401;0.804908;0.987474;0.330146;0.889199;0.564136;0.861161;;;0.2798988493072698;0.534404;3222;0.899375;0.718232;0.981694;0.298165
35;0.27592601469482503;0.897895;0.648924;0.894819;;;0.59537;14681;0.903191;0.805764;0.98779;0.323603;0.887647;0.55714;0.85666;;;0.2832179231595764;0.518349;3222;0.89816;0.707865;0.981335;0.288991
36;0.27325768008961127;0.896465;0.650246;0.896231;;;0.585721;14681;0.899471;0.835971;0.991019;0.292401;0.884854;0.554159;0.858082;;;0.28316650516512526;0.527397;3222;0.892938;0.718121;0.984925;0.245413
37;0.2742077238778069;0.897146;0.654484;0.896562;;;0.59598;14681;0.901551;0.815894;0.98905;0.310015;0.887958;0.555247;0.857154;;;0.285016330140559;0.525114;3222;0.89715;0.721894;0.98313;0.279816
38;0.2766587086317264;0.897691;0.651448;0.896485;;;0.589834;14681;0.902358;0.813713;0.988656;0.316558;0.886716;0.555483;0.853386;;;0.2840059080608027;0.506881;3222;0.897276;0.702857;0.981335;0.28211
39;0.2803565179807972;0.896874;0.644134;0.894773;;;0.585219;14681;0.904428;0.77532;0.984796;0.335179;0.887027;0.550307;0.855202;;;0.2850166853889592;0.497717;3222;0.899406;0.689474;0.978823;0.300459
40;0.274462804363202;0.899121;0.654448;0.898487;;;0.59196;14681;0.904655;0.806295;0.987396;0.335179;0.885785;0.55156;0.856694;;;0.2868481932831136;0.501134;3222;0.898221;0.682796;0.978823;0.291284
41;0.2714347596131897;0.899121;0.651851;0.896869;;;0.589834;14681;0.908846;0.761364;0.981802;0.370911;0.882371;0.55352;0.861259;;;0.28141754295406396;0.513761;3222;0.900233;0.632558;0.971644;0.311927
42;0.27313757869897426;0.897555;0.651078;0.899337;;;0.591847;14681;0.904088;0.789222;0.986135;0.331656;0.883923;0.543516;0.857513;;;0.2865102276955237;0.497797;3222;0.897757;0.663158;0.977028;0.288991
43;0.2752592461114521;0.895579;0.651456;0.898126;;;0.592555;14681;0.89932;0.82153;0.990074;0.291897;0.885475;0.553748;0.856788;;;0.28825650098696026;0.516779;3222;0.894033;0.716129;0.984207;0.254587
44;0.27240742220444425;0.899394;0.654957;0.899311;;;0.594867;14681;0.904566;0.811736;0.987868;0.334172;0.886096;0.55093;0.858899;;;0.2899333699487848;0.508009;3222;0.89747;0.692737;0.980258;0.284404
45;0.27240761325098756;0.898032;0.667402;0.901381;;;0.601409;14681;0.900436;0.85;0.991728;0.299446;0.886716;0.556481;0.858659;;;0.28477676348526015;0.502294;3222;0.895201;0.72327;0.984207;0.263761
46;0.27413283224737084;0.900075;0.66548;0.902317;;;0.603926;14681;0.904693;0.820988;0.988577;0.334675;0.885475;0.556517;0.859638;;;0.28276396921328845;0.5;3222;0.897664;0.68306;0.979182;0.286697
47;0.2731136477700607;0.90096;0.670701;0.903627;;;0.608455;14681;0.904608;0.836915;0.989838;0.333166;0.884544;0.55989;0.860051;;;0.2812822438142893;0.522936;3222;0.896778;0.677778;0.979182;0.279816
48;0.2720383526739597;0.901165;0.668707;0.902734;;;0.603119;14681;0.905914;0.822115;0.988341;0.344238;0.884854;0.561512;0.861236;;;0.2823558020724006;0.506881;3222;0.898383;0.670157;0.977387;0.293578
49;0.2699630927870757;0.901505;0.664141;0.900938;;;0.598089;14681;0.905655;0.831089;0.989129;0.341721;0.883613;0.554449;0.86088;;;0.28263128153901157;0.506881;3222;0.895376;0.676301;0.9799;0.268349
