epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3526690027050841;0.8747361;0.4697896852114426;0.8236485794817725;0.47771657486229346;0.8833251;0.64176244;0.98526865;0.16859588;0.8730602;0.4646890850620736;0.8234158999453361;0.30940409677136693;0.4782608695652174;0.88400644;0.6062992;0.9820531;0.17660551
1;0.33004578001536855;0.878823;0.49356695502093817;0.8301684876385333;0.491210447011552;0.8921463;0.6361257;0.9780999;0.24458984;0.8758535;0.4930042333070731;0.8297491718092427;0.3068420246456218;0.48519362186788156;0.8914042;0.6034483;0.9752333;0.24082568
2;0.32202833638028583;0.8771882;0.5099373995614156;0.8340745093620587;0.49270256668344237;0.8800335;0.7613636;0.9933827;0.1348767;0.8792675;0.5091107164592075;0.8321925815183387;0.30992138745583486;0.4793577981651376;0.8810811;0.8051948;0.9946159;0.14220184
3;0.3188894336925046;0.8835229;0.524602718042763;0.8397555792182826;0.5067941620533467;0.8978557;0.6579248;0.97636676;0.2903875;0.880509;0.5190952418652391;0.8367105843766671;0.30018873988176115;0.4988662131519274;0.89870477;0.62085307;0.971285;0.30045873
4;0.3146008172928683;0.8827055;0.5289416141193227;0.8420240464865013;0.5062908907901359;0.88732;0.75628626;0.99007404;0.19677906;0.8798883;0.51586807246326;0.8384657560410177;0.3021372907340046;0.4908256880733945;0.8878112;0.68992245;0.9856425;0.20412844
5;0.3145218213809394;0.8803215;0.5421352409236905;0.8486292538494067;0.5228988424760946;0.88185185;0.8194444;0.9948795;0.14846502;0.88019866;0.5287049196703634;0.8418015701047835;0.29561219797750055;0.49547511312217196;0.88289726;0.78409094;0.9931802;0.15825687
6;0.31325308961112336;0.8845447;0.5433466128289546;0.8501920748612635;0.5188726723704077;0.8907838;0.74013156;0.9875532;0.22647206;0.8823712;0.5283486491593696;0.8381076417474;0.2990642853270844;0.4977168949771689;0.8913821;0.6938776;0.9838478;0.23394495
7;0.3093784163642504;0.88760984;0.5558183433907217;0.8530953204653312;0.5244086562657272;0.8939221;0.7541478;0.9871593;0.25163564;0.88392305;0.5301743007935131;0.8414475720674145;0.29915330090521286;0.5034168564920274;0.89308995;0.7012987;0.98348886;0.24770643
8;0.30669822739500024;0.8883591;0.5612802690439622;0.8558931264975929;0.5339708102667338;0.8971761;0.7277487;0.9836143;0.27981883;0.8829919;0.5313144349435835;0.8451011611135626;0.2941768162928332;0.5114678899082569;0.8955665;0.6666667;0.9788227;0.2706422
9;0.30249767882857154;0.8908794;0.5696531917509831;0.8588973118083042;0.53420523138833;0.89716417;0.76847976;0.986923;0.27730247;0.8836127;0.538862611479126;0.8469197231241397;0.2894011190002709;0.5090497737556561;0.89537555;0.6763006;0.9798995;0.26834863
10;0.30392367162627976;0.89135617;0.577468390630488;0.8617467770855606;0.5395067941620534;0.9000216;0.7425743;0.9836143;0.30196276;0.88640594;0.5369421036530431;0.8464093073493286;0.29064313464287567;0.5114678899082569;0.8990765;0.68421054;0.97846377;0.29816514
11;0.3009257386880389;0.8897895;0.5723975194242656;0.8621036738802214;0.5371859296482412;0.9001445;0.7193817;0.98140854;0.30447912;0.8836127;0.5353745058522859;0.8473881530852163;0.29012458899574645;0.5079726651480638;0.9000996;0.64593303;0.9734386;0.30963302
12;0.3009012000950296;0.890675;0.5778750918970026;0.8649941335238052;0.5427565392354124;0.9015717;0.7185355;0.98062074;0.31605434;0.88392305;0.5374872479359883;0.8505008660603146;0.2904391328900738;0.5079726651480638;0.90039843;0.64761907;0.9734386;0.3119266
13;0.2991410260898899;0.890675;0.5805290703513047;0.8665887509397185;0.542713567839196;0.8976547;0.7588076;0.98597765;0.28183192;0.8851645;0.5363909499583868;0.8483455942886121;0.28912129428892086;0.5068807339449541;0.89736843;0.6813187;0.97918165;0.28440368
14;0.29935488170642766;0.8921735;0.5870240367467721;0.8693590622011405;0.5417505030181087;0.9011481;0.74278843;0.98314166;0.31102163;0.88392305;0.5381169411340612;0.8494882670231892;0.2877751429588953;0.5252293577981652;0.8996024;0.6519608;0.97451544;0.30504587
15;0.2982616779915839;0.89026636;0.5871796431625329;0.8705245471014563;0.5505787619526925;0.90298885;0.7021505;0.9781787;0.32863614;0.8842334;0.5395666588200949;0.8499361157030236;0.28787632426680576;0.5137614678899083;0.9017649;0.6438356;0.97200286;0.3233945
16;0.2967205563611259;0.891833;0.5939512250641072;0.872466724587398;0.5503018108651911;0.9054468;0.7025381;0.9769182;0.3482637;0.88485414;0.5418399726892908;0.8546755731475201;0.28626708521245803;0.5056947608200456;0.90344137;0.6419214;0.9705671;0.33715597
17;0.2980635496346521;0.8932634;0.596095753789859;0.8748299863719503;0.5508048289738431;0.9021904;0.7476415;0.98314166;0.31907398;0.88485414;0.5432401819116681;0.853932177269045;0.2873170349740005;0.5068807339449541;0.8997021;0.66169155;0.97559226;0.30504587
18;0.2936007321412748;0.8921735;0.5982231089378928;0.8730691118233541;0.5515853044791142;0.8953248;0.82165605;0.99117696;0.25968796;0.8857852;0.553661795447835;0.8552897185797927;0.28573388248811515;0.5303370786516854;0.8935547;0.7266667;0.98528355;0.25
19;0.29210196456030557;0.89408076;0.6033122217311503;0.8762827291844761;0.5505787619526925;0.9106998;0.69285715;0.97290057;0.3905385;0.8860956;0.5467124538975877;0.8542524220051766;0.2882142713597515;0.5135746606334841;0.9084769;0.6321839;0.965542;0.37844038
