epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
16;0.2819606622965973;0.901253;0.08363;0.383637;0.77252;;;-0.01814199696493149;0.955414;0.001684;0.40592;4628;0.00605;0.902174;0.75;0.101772;0.998316;0.044586;0.898409;0.085295;0.458192;0.822855;;;-0.016296000817775727;0.987952;0.001362;0.26081481465164713;0.493976;817;0.002448;0.899387;0.5;0.101591;0.998638;0.012048
17;0.28781152094167783;0.906223;0.08668;0.390936;0.778167;;;-0.015091997489452363;0.832272;0.010103;0.396226;4628;0.026145;0.913024;0.652893;0.101772;0.989897;0.167728;0.911873;0.087072;0.446372;0.827911;;;-0.01451900009250641;0.831325;0.004087;0.25798925215257573;0.476744;817;0.020808;0.91375;0.823529;0.101591;0.995913;0.168675
18;0.2863839515641834;0.907303;0.085249;0.389987;0.779084;;;-0.016523000702381135;0.825902;0.009622;0.39876;4628;0.026361;0.913671;0.672131;0.101772;0.990378;0.174098;0.913097;0.086147;0.44054;0.828601;;;-0.0154439971241951;0.819277;0.004087;0.2582779618132873;0.476744;817;0.022032;0.914894;0.833333;0.101591;0.995913;0.180723
19;0.2801534437679894;0.906655;0.104464;0.398232;0.779179;;;0.002692001953601836;0.819533;0.011066;0.407643;4628;0.028306;0.914165;0.648855;0.101772;0.988934;0.180467;0.911873;0.105232;0.449869;0.827172;;;0.0036410003509521477;0.807229;0.006812;0.25584787412602433;0.488095;817;0.025704;0.915829;0.761905;0.101591;0.993188;0.192771
20;0.2804406623685267;0.907303;0.078193;0.393627;0.777697;;;-0.023578998550891878;0.878981;0.003608;0.40501;4628;0.015557;0.909131;0.791667;0.101772;0.996392;0.121019;0.903305;0.07878;0.4505;0.822429;;;-0.022810997107982636;0.927711;0.002725;0.25943048699614174;0.493976;817;0.009792;0.904821;0.75;0.101591;0.997275;0.072289
21;0.2839412706145049;0.906871;0.101056;0.396532;0.781342;;;-0.0007159979195594801;0.859873;0.006255;0.4;4628;0.019879;0.910714;0.717391;0.101772;0.993746;0.140127;0.905753;0.101646;0.450226;0.826729;;;5.4998656749724595e-05;0.891566;0.004087;0.25942872492471114;0.493976;817;0.014688;0.908075;0.75;0.101591;0.995913;0.108434
22;0.28371212574473825;0.906871;0.108331;0.402269;0.783087;;;0.006559002295017241;0.855626;0.006736;0.41189;4628;0.020743;0.911077;0.708333;0.101772;0.993264;0.144374;0.908201;0.110067;0.471332;0.830899;;;0.008476002475261687;0.86747;0.004087;0.2559226243192446;0.470588;817;0.017136;0.910336;0.785714;0.101591;0.995913;0.13253
23;0.2863997877507037;0.907519;0.107657;0.403679;0.785983;;;0.005885000422477721;0.85138;0.006495;0.409766;4628;0.020959;0.911499;0.721649;0.101772;0.993505;0.14862;0.906977;0.109667;0.456854;0.833147;;;0.008076003154754638;0.879518;0.004087;0.25626340299169903;0.493976;817;0.015912;0.909204;0.769231;0.101591;0.995913;0.120482
24;0.2813985289791687;0.905791;0.09695;0.400058;0.781238;;;-0.004821997985363008;0.908705;0.001924;0.401274;4628;0.01102;0.906489;0.843137;0.101772;0.998076;0.091295;0.903305;0.098435;0.444681;0.827058;;;-0.0031560004148483284;0.939759;0.001362;0.2578686899807637;0.481928;817;0.007344;0.903822;0.833333;0.101591;0.998638;0.060241
25;0.28149477461338457;0.905791;0.097086;0.396177;0.779115;;;-0.004686002537727357;0.802548;0.013952;0.408714;4628;0.032627;0.915568;0.615894;0.101772;0.986048;0.197452;0.913097;0.097339;0.436884;0.830587;;;-0.004252003172397614;0.795181;0.006812;0.2566001265283533;0.45977;817;0.026928;0.916981;0.772727;0.101591;0.993188;0.204819
