epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.3575368954235041;0.90255;0.131632;0.373127;0.805411;;;0.029860000207901;0.785563;0.019485;0.386412;4628;0.039326;0.916779;0.554945;0.101772;0.980515;0.214437;0.909425;0.135312;0.467002;0.857227;;;0.03372100587749481;0.795181;0.010899;0.2617839625426722;0.442105;817;0.0306;0.916667;0.68;0.101591;0.989101;0.204819
1;0.3287467146705384;0.906439;0.136194;0.407802;0.824096;;;0.03442200560855865;0.762208;0.017801;0.420382;4628;0.04019;0.919181;0.602151;0.101772;0.982199;0.237792;0.910649;0.139418;0.46649;0.867306;;;0.03782700594329834;0.759036;0.013624;0.2546232732120021;0.455556;817;0.03672;0.919949;0.666667;0.101591;0.986376;0.240964
2;0.33252509997604285;0.903414;0.138657;0.408108;0.830989;;;0.03688500364112854;0.730361;0.024777;0.420719;4628;0.049697;0.921783;0.552174;0.101772;0.975223;0.269639;0.913097;0.144478;0.50539;0.869751;;;0.04288699324989319;0.686747;0.019074;0.25178654497829034;0.464286;817;0.04896;0.926641;0.65;0.101591;0.980926;0.313253
3;0.32235512334432564;0.904278;0.135953;0.426096;0.846658;;;0.03418099422740936;0.726115;0.024296;0.433121;4628;0.049697;0.922237;0.56087;0.101772;0.975704;0.273885;0.913097;0.140746;0.525645;0.883474;;;0.03915499742889404;0.686747;0.019074;0.2432647904055136;0.516854;817;0.04896;0.926641;0.65;0.101591;0.980926;0.313253
4;0.3153655107799434;0.907303;0.102056;0.4394;0.856315;;;0.00028399665641784533;0.787686;0.013952;0.447034;4628;0.03414;0.917002;0.632911;0.101772;0.986048;0.212314;0.915545;0.104347;0.515735;0.87049;;;0.0027559980359077446;0.759036;0.008174;0.23807426108870394;0.464286;817;0.031824;0.920354;0.769231;0.101591;0.991826;0.240964
5;0.3144345324657951;0.906871;0.128223;0.443312;0.85914;;;0.026451001956939696;0.721868;0.021891;0.454352;4628;0.047969;0.922832;0.59009;0.101772;0.978109;0.278132;0.919217;0.136121;0.537857;0.880224;;;0.034530004819869994;0.686747;0.012262;0.23556246031691278;0.494118;817;0.04284;0.92711;0.742857;0.101591;0.987738;0.313253
6;0.3006574059567691;0.90471;0.134012;0.451682;0.865762;;;0.03223999877262115;0.728238;0.023575;0.466102;4628;0.048833;0.922081;0.566372;0.101772;0.976425;0.271762;0.921665;0.136247;0.544979;0.876202;;;0.034655994137763976;0.662651;0.012262;0.23562181803923343;0.494253;817;0.045288;0.929487;0.756757;0.101591;0.987738;0.337349
7;0.29340014337994563;0.90471;0.13997;0.446688;0.857432;;;0.03819800455856323;0.696391;0.027183;0.471338;4628;0.055315;0.924977;0.558594;0.101772;0.972817;0.303609;0.919217;0.146754;0.52532;0.874594;;;0.04516299661064148;0.638554;0.017711;0.24150577619799493;0.481928;817;0.052632;0.931525;0.697674;0.101591;0.982289;0.361446
8;0.29885713974925765;0.903414;0.130976;0.454124;0.867363;;;0.029204006388664244;0.704883;0.027664;0.475584;4628;0.054883;0.924097;0.547244;0.101772;0.972336;0.295117;0.919217;0.133628;0.545555;0.885608;;;0.0320369958486557;0.626506;0.019074;0.23013957653244824;0.483516;817;0.05508;0.932642;0.688889;0.101591;0.980926;0.373494
9;0.29076263547629494;0.904927;0.13834;0.451276;0.859486;;;0.036567996337890624;0.732484;0.022853;0.472574;4628;0.047753;0.921715;0.570136;0.101772;0.977147;0.267516;0.914321;0.142413;0.522228;0.889695;;;0.04082200523281097;0.674699;0.019074;0.23742244556783318;0.482353;817;0.050184;0.927835;0.658537;0.101591;0.980926;0.325301
