epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
27;0.3045263839548741;0.888563;0.552014;0.854184;;;0.518369;14681;0.900536;0.700114;0.979282;0.309009;0.88113;0.523449;0.835251;;;0.2972593048736592;0.495413;3222;0.899568;0.623256;0.970926;0.307339
28;0.30127044426001076;0.886792;0.556011;0.856117;;;0.521892;14681;0.903807;0.659158;0.972586;0.338702;0.882371;0.522202;0.835327;;;0.2972588941991366;0.5;3222;0.904538;0.615385;0.965901;0.348624
29;0.30018820984502326;0.883114;0.551923;0.856962;;;0.526422;14681;0.913702;0.595895;0.955018;0.423754;0.869336;0.515366;0.840542;;;0.31103173716885196;0.489703;3222;0.911877;0.521368;0.939698;0.419725
30;0.30232458143759494;0.884817;0.555588;0.855843;;;0.525415;14681;0.910101;0.616904;0.961793;0.393055;0.880819;0.525691;0.838486;;;0.2994298009140605;0.509174;3222;0.911866;0.584967;0.954415;0.41055
31;0.2985841751679211;0.888836;0.564305;0.85993;;;0.524912;14681;0.903017;0.685475;0.976288;0.330146;0.882682;0.52693;0.839538;;;0.2943028275971084;0.493119;3222;0.902945;0.623932;0.968414;0.334862
32;0.29760732279308777;0.887269;0.564176;0.859789;;;0.526925;14681;0.907013;0.648214;0.968962;0.365375;0.879578;0.515591;0.838102;;;0.29905909198104486;0.490868;3222;0.907823;0.585106;0.958004;0.37844
33;0.2998722064551216;0.8887;0.562526;0.859025;;;0.529175;14681;0.904595;0.674235;0.974004;0.343734;0.876785;0.510724;0.836482;;;0.30143053670576236;0.489703;3222;0.903139;0.57529;0.960517;0.341743
34;0.29736440567511985;0.887269;0.564808;0.859183;;;0.530653;14681;0.908761;0.640917;0.966677;0.37997;0.877716;0.520611;0.839985;;;0.2996176249589852;0.495413;3222;0.907913;0.572414;0.955492;0.380734
35;0.2997888078924892;0.886111;0.567536;0.860006;;;0.533468;14681;0.913987;0.615047;0.958484;0.423754;0.87275;0.515582;0.838688;;;0.30605408629318115;0.488532;3222;0.911357;0.538922;0.944724;0.412844
36;0.29767134284954466;0.891016;0.573915;0.863097;;;0.535984;14681;0.903947;0.703899;0.977864;0.336185;0.882371;0.52635;0.842523;;;0.2933935259164194;0.503401;3222;0.904266;0.616326;0.96626;0.34633
37;0.2980803809921731;0.890539;0.575155;0.864032;;;0.532461;14681;0.906683;0.680952;0.97361;0.359839;0.882682;0.524379;0.843401;;;0.294304258006837;0.497706;3222;0.906482;0.611538;0.963747;0.364679
38;0.2970532317472728;0.891016;0.580754;0.865959;;;0.539035;14681;0.902015;0.719139;0.980463;0.319577;0.884854;0.532341;0.843333;;;0.2923652965096788;0.502294;3222;0.903172;0.643172;0.970926;0.334862
39;0.2962944405601895;0.889313;0.570425;0.862295;;;0.530951;14681;0.906142;0.671727;0.972743;0.356316;0.880819;0.516464;0.836115;;;0.29980479354705963;0.486607;3222;0.906292;0.597744;0.961594;0.364679
40;0.29740995315403634;0.885839;0.570472;0.862692;;;0.530622;14681;0.910507;0.623315;0.962581;0.395571;0.877716;0.521945;0.838875;;;0.30293807503897385;0.501144;3222;0.910997;0.567308;0.951543;0.405963
41;0.29563497215830153;0.889858;0.577169;0.866117;;;0.542023;14681;0.905128;0.683168;0.974791;0.347257;0.882061;0.524887;0.841793;;;0.29539723951926816;0.492099;3222;0.904234;0.613821;0.965901;0.34633
42;0.2961540333534635;0.877733;0.559774;0.861243;;;0.522396;14681;0.917298;0.559186;0.943674;0.456467;0.86406;0.508071;0.836131;;;0.313530089630798;0.475973;3222;0.915428;0.497475;0.928571;0.451835
43;0.29613272502879323;0.881411;0.563117;0.860817;;;0.535211;14681;0.915169;0.58255;0.951;0.436839;0.865611;0.506217;0.832599;;;0.31136160346197833;0.481651;3222;0.912084;0.504087;0.934673;0.424312
44;0.29742183201431144;0.88795;0.572107;0.864346;;;0.535481;14681;0.908587;0.647414;0.96778;0.377957;0.88144;0.523609;0.838558;;;0.29795853055037747;0.496568;3222;0.908566;0.596429;0.95944;0.383028
45;0.2976768778086543;0.881616;0.561559;0.859835;;;0.527163;14681;0.914122;0.585685;0.952576;0.428284;0.871198;0.519556;0.839552;;;0.3047749822985897;0.493119;3222;0.91321;0.529745;0.940416;0.428899
46;0.29692879666421224;0.883795;0.567345;0.863111;;;0.536232;14681;0.915331;0.596696;0.953836;0.436336;0.868094;0.522266;0.839092;;;0.30315996362399344;0.477376;3222;0.911181;0.51567;0.938981;0.415138
47;0.29470907512530264;0.887065;0.57743;0.865586;;;0.538693;14681;0.909529;0.636288;0.965417;0.386512;0.878026;0.523975;0.840782;;;0.29886976324720166;0.490826;3222;0.90906;0.572391;0.954415;0.389908
48;0.2927716937304095;0.890675;0.58837;0.87193;;;0.550075;14681;0.906458;0.683654;0.974082;0.357826;0.882061;0.523756;0.843306;;;0.2958133290738589;0.483945;3222;0.906694;0.606061;0.96267;0.366972
49;0.29439953775508926;0.889653;0.586323;0.870717;;;0.547464;14681;0.909723;0.657241;0.968489;0.386009;0.880819;0.516704;0.844464;;;0.29992198238807166;0.486239;3222;0.907948;0.593525;0.95944;0.37844
50;0.29468283590694905;0.890471;0.587326;0.870091;;;0.549296;14681;0.909319;0.666374;0.970065;0.381983;0.879268;0.517337;0.840582;;;0.3000376190849153;0.488532;3222;0.906961;0.584838;0.958722;0.37156
51;0.29548586072489913;0.893195;0.590992;0.870581;;;0.549572;14681;0.905171;0.720294;0.979045;0.344741;0.882992;0.517795;0.838917;;;0.29644900967825427;0.485126;3222;0.902708;0.627706;0.969131;0.332569
52;0.29358752856906367;0.887474;0.581254;0.867836;;;0.541751;14681;0.913125;0.627183;0.96132;0.415702;0.87306;0.511907;0.835889;;;0.3078638658732231;0.49095;3222;0.909404;0.54232;0.947595;0.396789
53;0.2937149349106535;0.889176;0.585893;0.870337;;;0.545181;14681;0.914961;0.63373;0.961163;0.42929;0.875233;0.518117;0.839202;;;0.3054448359644169;0.490826;3222;0.911034;0.552795;0.948313;0.408257
54;0.2918093202755035;0.89265;0.601274;0.874696;;;0.558956;14681;0.900793;0.753391;0.984244;0.307499;0.882992;0.536875;0.842324;;;0.2915453079054254;0.506881;3222;0.898709;0.646766;0.974515;0.298165
55;0.29112657817030757;0.891901;0.590898;0.871881;;;0.553095;14681;0.903216;0.720264;0.979991;0.329139;0.880819;0.526675;0.841993;;;0.29495226541877456;0.5;3222;0.901136;0.614035;0.968414;0.321101
56;0.2920227353229858;0.888495;0.586308;0.869863;;;0.547787;14681;0.910644;0.643678;0.965811;0.394565;0.874612;0.516828;0.837079;;;0.30262437812674126;0.478555;3222;0.907598;0.553333;0.951902;0.380734
57;0.29018395538267067;0.893263;0.595627;0.874371;;;0.557615;14681;0.904824;0.723881;0.979597;0.341721;0.880819;0.522952;0.844392;;;0.2943993890918167;0.486301;3222;0.903291;0.606557;0.965542;0.33945
58;0.29031073217836617;0.889449;0.572306;0.86275;;;0.530827;14681;0.912082;0.645833;0.96518;0.405637;0.87244;0.503781;0.828354;;;0.31930608310217;0.469108;3222;0.909907;0.538462;0.946159;0.401376
59;0.2904589044040681;0.892787;0.60524;0.878498;;;0.563161;14681;0.905484;0.713106;0.9781;0.34776;0.884544;0.529895;0.843089;;;0.2954602727954392;0.490826;3222;0.905306;0.631148;0.967696;0.353211
60;0.2902918771847166;0.888087;0.586137;0.869632;;;0.545043;14681;0.914361;0.627786;0.960533;0.425264;0.868715;0.504023;0.832365;;;0.31302025803659067;0.473684;3222;0.908682;0.519637;0.942929;0.394495
61;0.2913772076423269;0.884885;0.583118;0.869697;;;0.54454;14681;0.920385;0.59322;0.948952;0.475591;0.864991;0.50097;0.835795;;;0.32161558203255813;0.477064;3222;0.914346;0.501299;0.931084;0.442661
62;0.2906391774956029;0.888768;0.590043;0.871322;;;0.554326;14681;0.917302;0.62395;0.957697;0.448415;0.869026;0.502627;0.832199;;;0.3183722840442856;0.479358;3222;0.910702;0.520349;0.940775;0.41055
63;0.2903010876273664;0.893059;0.604045;0.876709;;;0.559638;14681;0.906757;0.707051;0.976761;0.358329;0.880199;0.524507;0.84044;;;0.2958773494016525;0.5;3222;0.90404;0.599206;0.963747;0.34633
64;0.28616555324692744;0.8887;0.589472;0.873504;;;0.553598;14681;0.919639;0.617432;0.954703;0.467036;0.867784;0.51103;0.837522;;;0.31478574231942197;0.479358;3222;0.912876;0.513736;0.936468;0.428899
65;0.2862008722241394;0.886724;0.587516;0.87217;;;0.545546;14681;0.920742;0.603053;0.950843;0.477101;0.867474;0.510731;0.837768;;;0.31669128469748203;0.482916;3222;0.915463;0.511749;0.932879;0.449541
66;0.28923678264723746;0.886179;0.588347;0.873773;;;0.549423;14681;0.91954;0.602332;0.951631;0.468042;0.866853;0.514221;0.837593;;;0.3132344103383026;0.485459;3222;0.913944;0.509333;0.933956;0.438073
67;0.2890233788257415;0.88979;0.593932;0.873843;;;0.546278;14681;0.913284;0.644028;0.964078;0.415199;0.87306;0.508009;0.837806;;;0.3078991396411615;0.484018;3222;0.910252;0.541538;0.946518;0.40367
68;0.29022401945401455;0.895034;0.619018;0.881394;;;0.56769;14681;0.901968;0.77599;0.985741;0.315551;0.883302;0.525794;0.840703;;;0.2939227252578898;0.497768;3222;0.897952;0.654639;0.975951;0.291284
69;0.28744963538105905;0.880117;0.583111;0.86905;;;0.538347;14681;0.92347;0.564088;0.939184;0.502768;0.857232;0.497803;0.8254;;;0.3308121421502141;0.46789;3222;0.916846;0.472222;0.918162;0.46789
70;0.28611806298839354;0.892582;0.604484;0.877379;;;0.55835;14681;0.908383;0.691589;0.974004;0.372421;0.875854;0.511721;0.833334;;;0.30390533513067525;0.485126;3222;0.903859;0.567164;0.958363;0.348624
