epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
16;0.2882167465939654;0.894353;0.133777;0.613004;0.883633;;;-0.0015680074405670097;0.684449;0.015046;0.563161;14681;0.055718;0.901897;0.766504;0.135345;0.984954;0.315551;0.883923;0.136973;0.558128;0.860042;;;0.0016529936122894329;0.729358;0.020101;0.28067731796252215;0.522831;3222;0.054004;0.895669;0.678161;0.13532;0.9799;0.270642
17;0.2872270473506355;0.891492;0.115123;0.605204;0.882019;;;-0.02022199627876281;0.725717;0.011895;0.557625;14681;0.047408;0.89689;0.783046;0.135345;0.988105;0.274283;0.883302;0.118006;0.551777;0.856255;;;-0.017314001567363735;0.75;0.017588;0.2844591109807043;0.52164;3222;0.049038;0.893277;0.689873;0.13532;0.982412;0.25
18;0.2876988991193677;0.890539;0.100796;0.606468;0.881192;;;-0.03454900083065032;0.750881;0.009059;0.562;14681;0.04155;0.893966;0.811475;0.135345;0.990941;0.249119;0.882682;0.103478;0.556782;0.857682;;;-0.03184200043201446;0.777523;0.013999;0.2888236084593371;0.519016;3222;0.04221;0.890149;0.713235;0.13532;0.986001;0.222477
19;0.2859783925257654;0.894217;0.127568;0.610417;0.885643;;;-0.007776993484497063;0.648213;0.020876;0.560141;14681;0.065663;0.906102;0.725104;0.135345;0.979124;0.351787;0.886406;0.131979;0.552737;0.860753;;;-0.0033409964513778645;0.667431;0.02692;0.2809737073772076;0.513761;3222;0.068281;0.903065;0.659091;0.13532;0.97308;0.332569
20;0.2841000699711379;0.894217;0.140636;0.609686;0.884366;;;0.0052909970569610665;0.652743;0.020167;0.561651;14681;0.064437;0.90557;0.729387;0.135345;0.979833;0.347257;0.885475;0.145035;0.552973;0.860863;;;0.009714998655319218;0.676606;0.026561;0.2811858681678624;0.527523;3222;0.066729;0.901896;0.655814;0.13532;0.973439;0.323395
21;0.2870979471390095;0.890539;0.11999;0.600409;0.879095;;;-0.01535500136137008;0.736789;0.011265;0.555053;14681;0.045365;0.89554;0.785285;0.135345;0.988735;0.263211;0.884544;0.124002;0.555447;0.859803;;;-0.011317997820377346;0.747706;0.016511;0.2815135951222728;0.518349;3222;0.048417;0.893673;0.705128;0.13532;0.983489;0.252294
22;0.2832590345318405;0.890607;0.103557;0.604945;0.882675;;;-0.031788001925945275;0.735279;0.011423;0.559075;14681;0.045705;0.895717;0.783905;0.135345;0.988577;0.264721;0.887337;0.107642;0.562393;0.861607;;;-0.02767799759626388;0.729358;0.016152;0.2845647147446778;0.522727;3222;0.05059;0.896044;0.723926;0.13532;0.983848;0.270642
23;0.28261228182895026;0.890471;0.116707;0.614221;0.885781;;;-0.018638002843856805;0.750881;0.009138;0.565392;14681;0.041618;0.893959;0.810147;0.135345;0.990862;0.249119;0.884854;0.120306;0.560711;0.859576;;;-0.015013999886512752;0.766055;0.013281;0.28181135150806863;0.534831;3222;0.043141;0.891664;0.733813;0.13532;0.986719;0.233945
24;0.2819688041604318;0.894285;0.121494;0.624449;0.886442;;;-0.013850997359752648;0.708103;0.011423;0.57193;14681;0.049384;0.899183;0.8;0.135345;0.988577;0.291897;0.887647;0.126224;0.563748;0.859352;;;-0.009096003718376156;0.711009;0.018665;0.2804791126411794;0.517162;3222;0.055245;0.89816;0.707865;0.13532;0.981335;0.288991
25;0.2835174184187249;0.89483;0.116555;0.626644;0.889497;;;-0.018790002138614648;0.696024;0.012683;0.573729;14681;0.052108;0.900618;0.789542;0.135345;0.987317;0.303976;0.885164;0.120971;0.554818;0.860504;;;-0.014348998315334316;0.720183;0.020101;0.2820183262136469;0.520642;3222;0.055245;0.896846;0.685393;0.13532;0.9799;0.279817
26;0.2834117350416376;0.892446;0.119062;0.619222;0.889388;;;-0.01628300097703933;0.724207;0.011029;0.5692;14681;0.046863;0.897163;0.796512;0.135345;0.988971;0.275793;0.884544;0.122691;0.55157;0.856249;;;-0.012629001982212062;0.740826;0.017588;0.28402919358325845;0.522936;3222;0.050279;0.894444;0.697531;0.13532;0.982412;0.259174
27;0.28179105179332714;0.896465;0.125653;0.636465;0.891964;;;-0.009692001314163201;0.659285;0.016543;0.582788;14681;0.060418;0.905031;0.763247;0.135345;0.983457;0.340715;0.888579;0.13051;0.566102;0.861104;;;-0.004809997625350948;0.665138;0.024767;0.279198278275837;0.517084;3222;0.066729;0.903558;0.67907;0.13532;0.975233;0.334862
28;0.2797590830877429;0.896124;0.117951;0.626682;0.891238;;;-0.017394001753330224;0.689985;0.012132;0.570206;14681;0.052449;0.901445;0.8;0.135345;0.987868;0.310015;0.888268;0.121826;0.558207;0.858702;;;-0.013493999488353725;0.706422;0.018665;0.2822458865358029;0.520642;3222;0.055866;0.898751;0.711111;0.13532;0.981335;0.293578
29;0.2786879632681635;0.895375;0.116718;0.61532;0.885735;;;-0.018626998336315148;0.677403;0.014968;0.557567;14681;0.056604;0.902816;0.77136;0.135345;0.985032;0.322597;0.887337;0.121113;0.553515;0.856889;;;-0.014206997699737545;0.692661;0.021895;0.28419579965571745;0.514806;3222;0.060521;0.900231;0.68718;0.13532;0.978105;0.307339
30;0.28207318542964666;0.895239;0.122056;0.628718;0.892085;;;-0.013289000065326684;0.703573;0.011029;0.574233;14681;0.049656;0.899799;0.807956;0.135345;0.988971;0.296427;0.888579;0.125911;0.560853;0.857454;;;-0.009409002609252926;0.720183;0.016152;0.2820610321877833;0.495413;3222;0.051831;0.897218;0.730539;0.13532;0.983848;0.279817
31;0.2796172542411336;0.895375;0.113608;0.629932;0.887906;;;-0.0217369973373413;0.698541;0.011659;0.580775;14681;0.050882;0.900388;0.801874;0.135345;0.988341;0.301459;0.888579;0.116828;0.561748;0.858181;;;-0.018491997964382167;0.720183;0.016152;0.2824508537631424;0.506818;3222;0.051831;0.897218;0.730539;0.13532;0.983848;0.279817
32;0.2763234457325508;0.897827;0.128543;0.642172;0.894856;;;-0.006801995606422417;0.674384;0.012604;0.589331;14681;0.054969;0.903416;0.801735;0.135345;0.987396;0.325617;0.887958;0.132327;0.560105;0.857485;;;-0.0029929947328567463;0.711009;0.018306;0.28085288568211964;0.508009;3222;0.054935;0.898194;0.711864;0.13532;0.981694;0.288991
33;0.2787772236432121;0.896056;0.111664;0.637461;0.894747;;;-0.023681002826690667;0.690488;0.012132;0.581782;14681;0.052381;0.90138;0.79974;0.135345;0.987868;0.309512;0.887958;0.115217;0.562201;0.857668;;;-0.020102999753952022;0.713303;0.017947;0.28379157641561487;0.511161;3222;0.054314;0.897932;0.714286;0.13532;0.982053;0.286697
34;0.27706984273772656;0.896124;0.10945;0.64129;0.893552;;;-0.025895002455711358;0.708606;0.009217;0.582791;14681;0.047408;0.899321;0.831897;0.135345;0.990783;0.291394;0.886716;0.112293;0.56116;0.858404;;;-0.02302700246095657;0.745413;0.014358;0.28402338577243647;0.522936;3222;0.046865;0.894171;0.735099;0.13532;0.985642;0.254587
35;0.2746982832770894;0.897214;0.115643;0.645527;0.893656;;;-0.019701997907161706;0.700554;0.009217;0.589331;14681;0.048498;0.900351;0.835674;0.135345;0.990783;0.299446;0.887337;0.119053;0.563025;0.858509;;;-0.016267001278400417;0.738532;0.014716;0.2817342596430352;0.518349;3222;0.048107;0.895011;0.735484;0.13532;0.985284;0.261468
36;0.27399042116195915;0.897146;0.124471;0.644045;0.894904;;;-0.010873998672962182;0.691495;0.010714;0.58688;14681;0.051018;0.901378;0.818425;0.135345;0.989286;0.308505;0.886096;0.128571;0.555671;0.856586;;;-0.00674899632453918;0.729358;0.017588;0.2821008644392223;0.510251;3222;0.051831;0.895908;0.706587;0.13532;0.982412;0.270642
37;0.2747407347693665;0.899802;0.130922;0.659785;0.899421;;;-0.004422995419502251;0.667338;0.011423;0.59084;14681;0.054901;0.904432;0.820099;0.135345;0.988577;0.332662;0.890441;0.135878;0.575176;0.860262;;;0.0005579966831207317;0.690367;0.018665;0.27791564908366556;0.522422;3222;0.058038;0.900824;0.721925;0.13532;0.981335;0.309633
38;0.27758169566903557;0.8981;0.121933;0.646627;0.897282;;;-0.0134120017004013;0.675893;0.012053;0.586016;14681;0.054288;0.90327;0.80803;0.135345;0.987947;0.324107;0.886716;0.126582;0.565141;0.861085;;;-0.008738003320693966;0.715596;0.019024;0.27906003710481414;0.517007;3222;0.054935;0.897537;0.700565;0.13532;0.980976;0.284404
