epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
25;0.3063408407493619;0.883659;0.531658;0.844896;;;0.503775;14681;0.89275;0.700719;0.135345;0.983614;0.245093;0.88113;0.509552;0.834996;;;0.2992197055714164;0.486239;3222;0.893032;0.660606;0.13532;0.9799;0.25
26;0.30512368490720404;0.884885;0.542089;0.846698;;;0.517068;14681;0.893844;0.708861;0.135345;0.983693;0.253649;0.883923;0.513128;0.833173;;;0.29880791302240833;0.493119;3222;0.894892;0.684524;0.13532;0.980976;0.263761
27;0.30290197825241866;0.882706;0.540893;0.846312;;;0.514343;14681;0.887429;0.754319;0.135345;0.989916;0.197786;0.882371;0.51464;0.836039;;;0.29819375476357657;0.49095;3222;0.888853;0.724409;0.13532;0.987437;0.211009
28;0.30410563225021364;0.885907;0.539844;0.843124;;;0.51384;14681;0.895088;0.711956;0.135345;0.983299;0.263714;0.882371;0.513618;0.829912;;;0.2998002036749244;0.494279;3222;0.896279;0.654054;0.13532;0.977028;0.277523
29;0.3052521972901098;0.883795;0.549173;0.850661;;;0.522954;14681;0.887556;0.778218;0.135345;0.991177;0.197786;0.880819;0.518785;0.838837;;;0.29689143402912394;0.493119;3222;0.887419;0.713115;0.13532;0.987437;0.199541
30;0.30102419541340136;0.884136;0.550442;0.851196;;;0.525654;14681;0.888582;0.766791;0.135345;0.990153;0.206844;0.882992;0.521665;0.839213;;;0.29520501723613596;0.497706;3222;0.889428;0.728682;0.13532;0.987437;0.215596
31;0.30269128742407864;0.88509;0.552916;0.851999;;;0.525415;14681;0.892127;0.732198;0.135345;0.986372;0.238047;0.880509;0.515674;0.838776;;;0.29565258746854567;0.495413;3222;0.892448;0.656442;0.13532;0.9799;0.245413
32;0.30197386023406475;0.88509;0.546347;0.847303;;;0.519879;14681;0.891402;0.741936;0.135345;0.987396;0.231505;0.878647;0.512301;0.835746;;;0.2991805601423383;0.497706;3222;0.890192;0.647059;0.13532;0.980617;0.227064
33;0.3012612703220848;0.882637;0.546434;0.850299;;;0.519879;14681;0.886439;0.771605;0.135345;0.991256;0.188727;0.878647;0.518514;0.841873;;;0.2978519161181521;0.504545;3222;0.887165;0.674419;0.13532;0.984925;0.199541
34;0.30341579491692144;0.885703;0.552318;0.850051;;;0.523905;14681;0.890694;0.765009;0.135345;0.989208;0.224459;0.878336;0.515769;0.836209;;;0.2970685362353375;0.497706;3222;0.888636;0.65493;0.13532;0.982412;0.213303
35;0.30060895533156234;0.887269;0.560019;0.855664;;;0.521389;14681;0.897687;0.706983;0.135345;0.981487;0.285355;0.882061;0.516407;0.839218;;;0.2956987371556068;0.497717;3222;0.897292;0.64433;0.13532;0.975233;0.286697
36;0.29818078058012887;0.884885;0.552837;0.847801;;;0.522876;14681;0.889164;0.773481;0.135345;0.99031;0.211374;0.880819;0.515352;0.832008;;;0.30255560157907296;0.498866;3222;0.889682;0.685714;0.13532;0.984207;0.220183
37;0.2983664450119638;0.887678;0.557843;0.857018;;;0.524072;14681;0.896817;0.721204;0.135345;0.98322;0.277302;0.880509;0.516977;0.843573;;;0.2927833106495963;0.508009;3222;0.896074;0.633508;0.13532;0.974874;0.277523
38;0.29929240185692046;0.887746;0.555848;0.852789;;;0.520382;14681;0.897624;0.714286;0.135345;0.982196;0.284348;0.88144;0.511131;0.839852;;;0.2957182322125269;0.495413;3222;0.896438;0.642105;0.13532;0.975592;0.279816
39;0.3003808432888915;0.885294;0.55805;0.854246;;;0.523402;14681;0.890536;0.758974;0.135345;0.988892;0.223452;0.879578;0.517684;0.840763;;;0.2948356837376462;0.497817;3222;0.889033;0.671429;0.13532;0.983489;0.215596
40;0.29854646619993197;0.888632;0.565847;0.857685;;;0.528169;14681;0.895162;0.755814;0.135345;0.986765;0.261701;0.882371;0.52098;0.841168;;;0.29659384583868204;0.495434;3222;0.893429;0.674847;0.13532;0.980976;0.252294
41;0.30085884456060114;0.887133;0.554627;0.854747;;;0.517777;14681;0.898419;0.698795;0.135345;0.980306;0.291897;0.88175;0.50911;0.840776;;;0.29626263832080296;0.486239;3222;0.8999;0.627907;0.13532;0.971285;0.309633
42;0.2967225596979621;0.886997;0.558436;0.85564;;;0.522899;14681;0.892956;0.75625;0.135345;0.987711;0.243583;0.88144;0.512431;0.839624;;;0.2959918873667865;0.486239;3222;0.89281;0.666667;0.13532;0.980617;0.247706
43;0.29585045394846177;0.887542;0.562312;0.855127;;;0.525918;14681;0.893241;0.7625;0.135345;0.988026;0.245596;0.880819;0.514443;0.840602;;;0.2952334732372224;0.479911;3222;0.89274;0.658537;0.13532;0.9799;0.247706
44;0.2979239982262728;0.885294;0.558391;0.854187;;;0.525918;14681;0.889707;0.772973;0.135345;0.990074;0.215903;0.880509;0.51296;0.839332;;;0.29645813759219786;0.495434;3222;0.888637;0.691729;0.13532;0.985284;0.211009
