epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
16;0.25350707489594676;0.909464;0.085731;0.519281;0.884662;;;-0.016041000291824342;0.836518;0.006014;0.498938;4628;0.02204;0.912947;0.754902;0.101772;0.993986;0.163482;0.908201;0.089279;0.521338;0.885706;;;-0.01231199655866623;0.843373;0.006812;0.22483722246827664;0.53012;817;0.022032;0.91239;0.722222;0.101591;0.993188;0.156627
17;0.25381384710254035;0.911193;0.090043;0.522721;0.884114;;;-0.011728999123096467;0.815287;0.006495;0.509554;4628;0.024633;0.914931;0.763158;0.101772;0.993505;0.184713;0.908201;0.094224;0.508632;0.885559;;;-0.007367001513004304;0.807229;0.010899;0.22412037548028854;0.535714;817;0.029376;0.915511;0.666667;0.101591;0.989101;0.192771
18;0.24843410446647435;0.911193;0.079852;0.515759;0.884939;;;-0.02192000012111664;0.800425;0.008179;0.501062;4628;0.027658;0.916222;0.734375;0.101772;0.991821;0.199575;0.909425;0.083002;0.531092;0.893864;;;-0.0185889989528656;0.807229;0.009537;0.21821782318476218;0.542169;817;0.028152;0.915617;0.695652;0.101591;0.990463;0.192771
19;0.2484108841911203;0.912057;0.087503;0.507541;0.879509;;;-0.01426899890613556;0.772824;0.010344;0.502075;4628;0.032411;0.918714;0.713333;0.101772;0.989656;0.227176;0.913097;0.089997;0.517835;0.8883;;;-0.011593999007701875;0.746988;0.012262;0.22170403097258057;0.546512;817;0.03672;0.92122;0.7;0.101591;0.987738;0.253012
20;0.2505372029824976;0.912273;0.091595;0.510261;0.879134;;;-0.010176998481273652;0.757962;0.011787;0.501062;4628;0.03522;0.920045;0.699386;0.101772;0.988213;0.242038;0.910649;0.096449;0.528347;0.895522;;;-0.005141997376441956;0.771084;0.012262;0.21690775721243866;0.542169;817;0.034272;0.918885;0.678571;0.101591;0.987738;0.228916
21;0.25314531459528616;0.910761;0.089584;0.528539;0.884552;;;-0.012187999591350557;0.81104;0.007457;0.52017;4628;0.025929;0.915262;0.741667;0.101772;0.992543;0.18896;0.909425;0.092187;0.529278;0.889662;;;-0.009403997698783875;0.807229;0.009537;0.2218862181960296;0.53012;817;0.028152;0.915617;0.695652;0.101591;0.990463;0.192771
22;0.24529291750249826;0.913354;0.086489;0.524426;0.88636;;;-0.015283000573635103;0.770701;0.009141;0.522293;4628;0.031547;0.919009;0.739726;0.101772;0.990859;0.229299;0.909425;0.090258;0.506677;0.887824;;;-0.011332997718811036;0.783133;0.012262;0.2231031058759701;0.493976;817;0.033048;0.917722;0.666667;0.101591;0.987738;0.216867
23;0.24236576803601706;0.911841;0.091918;0.543925;0.890285;;;-0.00985400091123581;0.798301;0.007698;0.540254;4628;0.027442;0.916463;0.748031;0.101772;0.992302;0.201699;0.913097;0.096068;0.530884;0.894833;;;-0.00552299771642685;0.795181;0.006812;0.2177377934162955;0.554217;817;0.026928;0.916981;0.772727;0.101591;0.993188;0.204819
24;0.24883494069421455;0.914002;0.099651;0.527034;0.879493;;;-0.002120998606204988;0.764331;0.009141;0.504149;4628;0.032195;0.919625;0.744966;0.101772;0.990859;0.235669;0.910649;0.105497;0.515902;0.893651;;;0.0039060026016235344;0.771084;0.012262;0.21980763540000198;0.511628;817;0.034272;0.918885;0.678571;0.101591;0.987738;0.228916
25;0.2503780463328883;0.914434;0.090021;0.542606;0.893841;;;-0.011751000687599183;0.757962;0.009382;0.528662;4628;0.03306;0.920223;0.745098;0.101772;0.990618;0.242038;0.911873;0.093953;0.517177;0.897032;;;-0.007638001481056214;0.771084;0.010899;0.2169451314449821;0.518072;817;0.033048;0.918987;0.703704;0.101591;0.989101;0.228916
26;0.24158483395286953;0.914218;0.078485;0.550839;0.894647;;;-0.023287002846717836;0.781316;0.006976;0.532909;4628;0.028522;0.918149;0.780303;0.101772;0.993024;0.218684;0.910649;0.081295;0.512362;0.895965;;;-0.02029600147342682;0.795181;0.009537;0.21973712181027252;0.52381;817;0.029376;0.916772;0.708333;0.101591;0.990463;0.204819
27;0.24909420449901679;0.915082;0.092581;0.556553;0.893908;;;-0.009191003546237947;0.764331;0.007938;0.529661;4628;0.031115;0.919715;0.770833;0.101772;0.992062;0.235669;0.908201;0.096299;0.513391;0.891468;;;-0.005291999915599824;0.795181;0.012262;0.22126851271441253;0.506024;817;0.031824;0.916561;0.653846;0.101591;0.987738;0.204819
28;0.24643267076961572;0.91573;0.101356;0.564637;0.897834;;;-0.00041600029182434217;0.747346;0.009141;0.536017;4628;0.033924;0.92127;0.757962;0.101772;0.990859;0.252654;0.908201;0.104395;0.496508;0.892075;;;0.002804002126693725;0.771084;0.014986;0.22356035693513282;0.506024;817;0.03672;0.918679;0.633333;0.101591;0.985014;0.228916
29;0.24099134062010355;0.914434;0.093717;0.569223;0.89797;;;-0.008054998621463777;0.764331;0.00866;0.545648;4628;0.031763;0.919661;0.755102;0.101772;0.99134;0.235669;0.909425;0.094987;0.509652;0.890335;;;-0.006604002455234528;0.795181;0.010899;0.22056094852516672;0.511905;817;0.0306;0.916667;0.68;0.101591;0.989101;0.204819
30;0.23943230803080334;0.91357;0.08586;0.552054;0.891639;;;-0.015912000939369203;0.77707;0.008179;0.522293;4628;0.030035;0.918467;0.755396;0.101772;0.991821;0.22293;0.906977;0.088652;0.4822;0.884065;;;-0.012939000168800355;0.795181;0.013624;0.22719953986593822;0.53012;817;0.033048;0.916456;0.62963;0.101591;0.986376;0.204819
31;0.24280223119021904;0.914866;0.088947;0.561422;0.89715;;;-0.012825001880645753;0.77707;0.006736;0.524416;4628;0.028738;0.918576;0.789474;0.101772;0.993264;0.22293;0.910649;0.09039;0.467644;0.884574;;;-0.011201003232955933;0.783133;0.010899;0.22665074416590145;0.5;817;0.031824;0.917826;0.692308;0.101591;0.989101;0.216867
32;0.24347310572984976;0.915082;0.099227;0.562694;0.900549;;;-0.002545003697395326;0.751592;0.009382;0.526539;4628;0.033708;0.920841;0.75;0.101772;0.990618;0.248408;0.911873;0.100683;0.50937;0.890926;;;-0.0009079963359832771;0.771084;0.010899;0.22045552690434778;0.511905;817;0.033048;0.918987;0.703704;0.101591;0.989101;0.228916
33;0.2396681100120422;0.915946;0.094768;0.57597;0.90245;;;-0.007003997370719911;0.755839;0.007938;0.535032;4628;0.031979;0.920536;0.777027;0.101772;0.992062;0.244161;0.910649;0.097448;0.517983;0.900594;;;-0.004143001178264619;0.783133;0.010899;0.21613213155450553;0.518072;817;0.031824;0.917826;0.692308;0.101591;0.989101;0.216867
34;0.23947685811179228;0.916162;0.07684;0.583255;0.898723;;;-0.024932001635551454;0.794055;0.003368;0.539583;4628;0.023984;0.917202;0.873874;0.101772;0.996632;0.205945;0.904529;0.079077;0.502959;0.899741;;;-0.02251400206422806;0.855422;0.009537;0.21968067951290668;0.5;817;0.023256;0.911028;0.631579;0.101591;0.990463;0.144578
35;0.2391528889726825;0.915946;0.086962;0.572092;0.898197;;;-0.014810000464439393;0.766454;0.006736;0.517895;4628;0.029818;0.919599;0.797101;0.101772;0.993264;0.233546;0.908201;0.087456;0.512938;0.890155;;;-0.014134997168540955;0.843373;0.006812;0.22148947310126688;0.511905;817;0.022032;0.91239;0.722222;0.101591;0.993188;0.156627
