epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
11;0.3194319590665824;0.88059396;0.495179567269531;0.8188610797662355;0.4899598393574297;14681;0.89217865;0.65983605;0.9803844;0.24308002;0.87895715;0.4889605683360592;0.8142201834862386;0.312771557235407;0.4853932584269663;3222;0.8920157;0.6385542;0.97846377;0.24311927
12;0.3189517762853261;0.8805258;0.4952771935744104;0.8191871514933725;0.4947209653092006;14681;0.8911613;0.6671449;0.98172367;0.23402114;0.87802607;0.48824525256240375;0.8130379946916759;0.3110613541840619;0.49311926605504586;3222;0.8911409;0.63190186;0.97846377;0.23623854
13;0.31811749775744974;0.8781418;0.49803768005729104;0.8188542605873105;0.4969818913480885;14681;0.882015;0.74264705;0.99172837;0.1524912;0.87740535;0.49520706816541143;0.8170077122177072;0.3101968068345077;0.4851258581235698;3222;0.88256;0.7113402;0.98994976;0.15825687
14;0.3191103810985848;0.87786937;0.4996480493440874;0.8222865277843083;0.49270256668344237;14681;0.88310957;0.71365637;0.98975897;0.16305989;0.88019866;0.49625471106823993;0.8173016129138485;0.3092701074168373;0.4888392857142857;3222;0.8856041;0.72727275;0.9892319;0.18348624
15;0.3184774392112855;0.88284177;0.5018242400116268;0.8243633642308216;0.497737556561086;14681;0.8967462;0.65687424;0.976997;0.28132865;0.88175046;0.4983362388403529;0.818981045463227;0.3065731917420653;0.48623853211009177;3222;0.89752066;0.6395939;0.97451544;0.28899083
16;0.31703537481621097;0.8807302;0.4997970959833821;0.8252724361096458;0.5012569130216189;14681;0.89496857;0.6425121;0.9766819;0.2677403;0.8786468;0.48630241376654926;0.8186245776721089;0.30749972036985934;0.481651376146789;3222;0.895345;0.6165803;0.9734386;0.27293578
17;0.317484707549934;0.878278;0.5037110064427673;0.8236673322238159;0.4962292609351433;14681;0.8808044;0.7777778;0.9936978;0.14091596;0.8792675;0.4939873931911589;0.8155003391795147;0.315266425979759;0.48642533936651583;3222;0.8818095;0.78313255;0.9935391;0.14908257
18;0.3141910347585887;0.88004905;0.5082438623808879;0.8291492582676003;0.5012581781580272;14681;0.8872282;0.70035464;0.98668665;0.19879214;0.8798883;0.497218069825621;0.8207617379163181;0.30650684157008345;0.4908675799086758;3222;0.8875606;0.6929134;0.98600143;0.20183486
19;0.3152763171152055;0.87923163;0.5037692120736762;0.8224965545305555;0.49974886991461576;14681;0.88658404;0.69244605;0.98652905;0.19375944;0.88175046;0.4914769368018882;0.8144325823086599;0.319763176836892;0.49311926605504586;3222;0.88903266;0.7099237;0.9863604;0.21330275
20;0.3150442876387356;0.8810708;0.5080546457985874;0.8288685420095914;0.49924509310518367;14681;0.8908325;0.67851853;0.9829053;0.23049824;0.88268155;0.5018381430421065;0.8217167093659649;0.30554935679274414;0.49311926605504586;3222;0.8932071;0.68125;0.98169416;0.25
